净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,1.19,1.19,-0.17,开放申购,开放赎回,nan
2020-10-09,1.236,1.236,3.87,开放申购,开放赎回,nan
2020-10-12,1.264,1.264,2.27,开放申购,开放赎回,nan
2020-10-13,1.265,1.265,0.08,开放申购,开放赎回,nan
2020-10-14,1.24,1.24,-1.98,开放申购,开放赎回,nan
2020-10-15,1.234,1.234,-0.48,开放申购,开放赎回,nan
2020-10-16,1.226,1.226,-0.65,开放申购,开放赎回,nan
2020-10-19,1.217,1.217,-0.73,开放申购,开放赎回,nan
2020-10-20,1.231,1.231,1.15,开放申购,开放赎回,nan
2020-10-21,1.2,1.2,-2.52,开放申购,开放赎回,nan
2020-10-22,1.192,1.192,-0.67,开放申购,开放赎回,nan
2020-10-23,1.162,1.162,-2.52,开放申购,开放赎回,nan
2020-10-26,1.179,1.179,1.46,开放申购,开放赎回,nan
2020-10-27,1.193,1.193,1.19,开放申购,开放赎回,nan
2020-10-28,1.213,1.213,1.68,开放申购,开放赎回,nan
2020-10-29,1.206,1.206,-0.58,开放申购,开放赎回,nan
2020-10-30,1.199,1.199,-0.58,开放申购,开放赎回,nan
2020-11-02,1.228,1.228,2.42,开放申购,开放赎回,nan
2020-11-03,1.231,1.231,0.24,开放申购,开放赎回,nan
2020-11-04,1.234,1.234,0.24,开放申购,开放赎回,nan
2020-11-05,1.261,1.261,2.19,开放申购,开放赎回,nan
2020-11-06,1.261,1.261,0.0,开放申购,开放赎回,nan
2020-11-09,1.306,1.306,3.57,开放申购,开放赎回,nan
2020-11-10,1.275,1.275,-2.37,开放申购,开放赎回,nan
2020-11-11,1.227,1.227,-3.76,开放申购,开放赎回,nan
2020-11-12,1.225,1.225,-0.16,开放申购,开放赎回,nan
2020-11-13,1.227,1.227,0.16,开放申购,开放赎回,nan
2020-11-16,1.213,1.213,-1.14,开放申购,开放赎回,nan
2020-11-17,1.215,1.215,0.16,开放申购,开放赎回,nan
2020-11-18,1.204,1.204,-0.91,开放申购,开放赎回,nan
2020-11-19,1.204,1.204,0.0,开放申购,开放赎回,nan
2020-11-20,1.207,1.207,0.25,开放申购,开放赎回,nan
2020-11-23,1.203,1.203,-0.33,开放申购,开放赎回,nan
2020-11-24,1.208,1.208,0.42,开放申购,开放赎回,nan
2020-11-25,1.201,1.201,-0.58,开放申购,开放赎回,nan
2020-11-26,1.187,1.187,-1.17,开放申购,开放赎回,nan
2020-11-27,1.199,1.199,1.01,开放申购,开放赎回,nan
2020-11-30,1.202,1.202,0.25,开放申购,开放赎回,nan
